Id;Titulo;Consola;America;Europa;Japon;Otro
2977;Medabots AX: Metabee;GameBoy Advance;1,2;1,92;1,61;2,39
2978;Halo: Combat Evolved Anniversary;XBox 360;1,81;2,14;1,98;2,2
2979;GT Advance 3: Pro Concept Racing;GameBoy Advance;0,48;2,24;2,15;3,04
2980;The Wolf Among Us;PlayStation 4;2,22;1,75;1,07;1,58
2981;BMX XXX;GameBoy Color;2,28;0,02;2,65;3,14
2982;Thief (2014);PlayStation 4;1,53;1,8;1,85;2,6
2983;Deepak Chopra's Leela;XBox 360;2,15;1,2;1,78;1,35
2984;Earth Defense Force 4.1: The Shadow of New Despair;PlayStation 4;2,19;1,31;2,16;2,7
2985;Serious Sam II;XBox;1,89;1,88;2,61;0,02
2986;Blood Omen 2;GameBoy Color;2;0,64;2,04;2,02
2987;Mirror's Edge Catalyst;XBox One;0,3;1,8;2,44;2,05
2988;Tony Hawk's Pro Skater 3;GameBoy Color;2,28;0,22;1,88;2,22
2989;Omega Quintet;PlayStation 4;2,51;1,84;0,81;0,91
2990;The Thing;XBox;2,33;2,13;2,53;0,12
2991;Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf;GameBoy Advance;1,61;2,78;2,11;2,12
2992;Mega Man 3;Nintendo;3,01;2,69;0,06;0,13
2993;Halo: Reach;XBox 360;2,33;2,48;1,32;2,88
2994;SpongeBob SquarePants: Game Boy Advance Video Volume 1;GameBoy Advance;2,26;1,02;2,65;1,21
2995;Tamagotchi no Narikiri Channel;Nintendo DS;0,06;2,25;2,02;2,49
2996;RedCard 20-03;XBox;3,02;2,31;1,81;0,13
2997;Help Wanted: 50 Wacky Jobs;Nintendo Wii;2,08;2,1;1,95;1,72
2998;Guardian Heroes;Sega Saturn;1,77;2,27;1,64;0,01
2999;Big Mutha Truckers;XBox;1,35;1,61;2,72;0,08
3000;Dragon Booster;Nintendo DS;0,01;1,18;2,57;1,82
3001;Circus Maximus: Chariot Wars;XBox;1,74;2,08;3,93;0,13
3002;Strike Force Bowling;XBox;1,74;1,87;1,29;0,09
3003;J-League Soccer: Prime Goal 2;Super Nintendo;2,39;2,08;3,61;0,9
3004;Parasite Eve;PlayStation;1,77;2,62;0,03;1,54
3005;Top Gear RPM Tuning;XBox;2,2;2,23;2,47;0,08
3006;Mission: Impossible - Operation Surma;XBox;2,65;2,66;1,34;0,14
3007;The Sims: Bustin' Out;XBox;1,77;2,47;3,18;0,06
3008;Shape Up;XBox One;0,23;2,5;2,34;2,6
3009;Point Blank 3;PlayStation;2,33;1,93;0,49;2,94
3010;Culdcept SAGA;XBox 360;1,83;2,16;2,97;2,33
3011;Doukyuusei 2;Sega Saturn;1,02;2,09;1,7;0,35
3012;America's Next Top Model;Nintendo DS;0,42;2,29;1,8;2,67
3013;Reign of Fire;GameBoy Color;2,97;0,14;2,36;2,38
3014;Phantasy Star Online Episode I & II;XBox;2,19;2,1;2,02;0,16
3015;Forza Motorsport;XBox;1,14;2,38;1,75;0,22
3016;Godzilla: Domination!;GameBoy Advance;1,23;1,84;2,81;2,1
3017;Pro Evolution Soccer 2016;XBox One;0,21;2,64;2,33;1,85
3018;Harry Potter and the Deathly Hallows - Part 2;Nintendo DS;0,72;2,49;1,48;1,56
3019;Knockout Kings 2000;Nintendo 64;3,54;2,86;3,19;3,18
3020;Kid Icarus;Nintendo;2,57;2,8;0,25;0,23
3021;WWE Day of Reckoning 2;GameBoy Color;1,32;0,03;1,86;2,12
3022;Action Force;Atari 2600;1,75;1,12;1,22;0,33
3023;Tokimeki Memorial 2;PlayStation;2,15;1,68;0,23;1,61
3024;Kawasaki Jet Ski;Nintendo Wii;1,75;2,53;2,22;1,98
3025;Batman Begins;GameBoy Advance;1,57;2,39;2,85;2,45
3026;SimEarth: The Living Planet;Super Nintendo;1,86;1,13;3,82;0,93
3027;Hunter: The Reckoning;GameBoy Color;2,17;0,1;1,66;2,01
3028;Stolen Song;PlayStation;2,35;2,18;0,03;1,69
3029;NBA ShootOut 2002;PlayStation;2,4;3,11;0,04;2,18
3030;Dark Rift;Nintendo 64;3,24;3,83;4,1;3,24
3031;Stacked with Daniel Negreanu;XBox;1,74;1,59;2,4;0,24
3032;Gokujou Parodius;Super Nintendo;1,7;1,96;3,43;1,03
3033;Tork: Prehistoric Punk;XBox;2,68;2,27;1,97;0,08
3034;Leisure Suit Larry: Magna Cum Laude;XBox;1,88;2,03;1,37;0,02
3035;Power Pro Kun Pocket 4;GameBoy Advance;2,55;2,03;2,23;1,62
3036;NBA Live 07;XBox;1,65;2,39;0,95;0,46
3037;Discworld II: Mortality Bytes!;PlayStation;2,65;2,19;0,3;2,17
3038;Super Nazo Puyo: Ruruu no Ruu;Super Nintendo;2,54;1,48;2,5;1,27
3039;SSX 3;XBox;2,35;2,05;1,83;0,33
3040;Ghostbusters (2016);PlayStation 4;1,77;2,59;1,2;1,43
3041;Sammy Sosa High Heat Baseball 2001;PlayStation;2,17;2,52;0,11;2,29
3042;MLB SlugFest Loaded;XBox;2,02;1,57;1,22;0,18
3043;Disgaea 5: Alliance of Vengeance;PlayStation 4;2,44;2,41;0,9;2,29
3044;Witches & Vampires: The Secrets of Ashburry;Nintendo DS;0,36;1,8;1,54;1,6
3045;World Stadium 4;PlayStation;1,74;2,13;0,07;1,74
3046;The Walking Dead: Season One;XBox One;0,29;1,51;2,55;3,02
3047;Choro Q 64 2: Hacha Mecha Grand Prix Race;Nintendo 64;3,18;3,12;3,65;2,7
3048;Rally Challenge 2000;Nintendo 64;3,17;3,48;3,63;3,18
3049;Shadow Man;PlayStation;1,51;1,8;0,14;2,19
3050;Banjo-Kazooie;XBox 360;2,06;1,95;2,4;2,68
3051;Kamen Rider: Battride War Genesis;PlayStation 4;3;2,34;1,91;1,65
3052;Auto Modellista;GameBoy Color;1,67;0,23;1,57;2,12
3053;Space Invaders;Super Nintendo;1,76;2,29;3,72;0,81
3054;EX Monopoly;GameBoy Advance;1,17;2,63;1,21;2,49
3055;Hitman 2: Silent Assassin;GameBoy Color;2,64;0,06;2,33;2,85
3056;Tom Clancy's EndWar;XBox 360;3,23;1,57;1,12;2,08
3057;We Sing Deutsche Hits;Nintendo Wii;1,84;2,76;1,63;1,92
3058;Burning Rangers;Sega Saturn;2,54;2,28;1,89;1,09
3059;Call of Duty: Ghosts;XBox One;0,07;1,47;2,06;2,16
3060;Tournament of Legends;Nintendo Wii;2,49;2,37;1,91;2,59
3061;Super Metroid;Super Nintendo;2,28;1,76;3,39;0,67
3062;Famicom Mini: Mario Bros.;GameBoy Advance;1,26;2,24;1,88;2,02
3063;Crackdown;XBox 360;2,57;2,12;1,36;1,78
3064;NHL Powerplay '96;PlayStation;2,03;2,75;0,27;1,21
3065;Power Rangers: Time Force;PlayStation;1,94;2,23;0,1;2,44
3066;SpongeBob SquarePants: Lights, Camera, Pants!;GameBoy Advance;1,79;1,06;2,18;2,16
3067;Burnout Paradise;XBox 360;1,99;2,7;2,22;2
3068;The King of Fighters '98: Dream Match Never Ends;PlayStation;1,57;1,96;0,03;2,51
3069;Star Fox;Super Nintendo;2,23;1,44;3,32;1,33
3070;South Park Rally;Nintendo 64;3,7;2,58;2,79;2,51
3071;GoldenEye 007 (2010);Nintendo Wii;2,35;2,77;1,95;2,23
3072;Yoshi's Cookie;GameBoy;2,13;0,09;2,75;0,08
3073;Tim Burton's The Nightmare Before Christmas: Oogie's Revenge;XBox;1,8;1,79;1,78;0,1
3074;Rayman;PlayStation;2,18;2,13;0,01;1,87
3075;Power Spike Pro Beach Volleyball;PlayStation;1,46;1,89;0,39;2,01
3076;Original Frisbee Disc Sports: Ultimate & Golf;Nintendo DS;0,13;2,18;2,28;3,39
3077;Fuzion Frenzy;XBox;2,02;2,85;2,27;0,02
3078;Mario & Luigi: Bowser's Inside Story;Nintendo DS;0,72;2,38;2,86;1,91
3079;Yu-Gi-Oh! The Sacred Cards (American and Others sales);GameBoy Advance;1,61;2,87;2,42;1,91
3080;Madagascar;XBox;2,51;1,33;1,88;0,24
3081;MotoGP 2;XBox;2,2;1,23;2,7;0,28
3082;Mario no Super Picross;Super Nintendo;1,52;2,02;2,36;1,68
3083;Honeycomb Beat;Nintendo DS;0,83;1,65;1,99;2,41
3084;Finding Nemo;XBox;2,26;1,85;2,11;0,06
3085;Yoshi's Story;Nintendo 64;3,09;3,33;3,02;3,19
3086;Call of Duty: Finest Hour;GameBoy Color;2,53;0,07;1,65;2,31
3087;Jenga World Tour;Nintendo Wii;2,63;3,23;2,34;3,08
3088;MadWorld;Nintendo Wii;2,45;2,23;2,49;1,43
3089;Armor Ambush;Atari 2600;2,59;0,79;0,45;0,93
3090;FIFA 99;Nintendo 64;3,07;3,18;3,18;3,39
3091;Tom Clancy's Rainbow Six;Nintendo 64;3,11;3,22;3,31;2,57
3092;Digimon Rumble Arena 2;GameBoy Color;1,42;0,11;1,47;2,67
3093;Apache: Air Assault;XBox 360;2,04;2,15;2,14;2,47
3094;NBA 2K16;XBox 360;2,48;2,12;2,13;2,68
3095;Kumamon Bomber: Puzzle de Kumamon Taisou;GameBoy Color;1,8;0,04;1,52;2,23
3096;Arcania: Gothic 4;PlayStation 4;2,3;2,06;1,01;2,87
3097;Chameleon Twist 2;Nintendo 64;2,75;2,96;3,87;3,32
3098;WWF War Zone;PlayStation;2,93;0,97;0,02;2,29
3099;Bomberman 64: The Second Attack!;Nintendo 64;2,72;2,68;3,92;2,27
3100;Bladestorm: Nightmare;PlayStation 4;2,38;2,1;2,11;2,63
3101;SaGa 2: Hihou Densetsu - Goddess of Destiny;Nintendo DS;0,89;2,19;2,4;1,98
3102;NASCAR 2005: Chase for the Cup;XBox;2,75;1,97;1,69;0,11
3103;FIFA Soccer 2004;GameBoy Advance;2,28;1,92;2,24;1,88
3104;Tom Clancy's Splinter Cell: Conviction;XBox 360;1,96;1,47;2,24;2,12
3105;River Raid II;Atari 2600;1,84;0,94;0,19;0,75
3106;Rock Band Track Pack: Classic Rock;XBox 360;2,22;2,3;1,94;2,6
3107;X-Man;Atari 2600;1,65;0,69;0,12;0,34
3108;Digimon Story: Super Xros Wars Blue/Red;Nintendo DS;0,01;1,81;1,56;2,44
3109;Tenchu: Return From Darkness;XBox;2,24;1,89;1,92;0,05
3110;Magical Starsign (US sales);Nintendo DS;0,02;1,33;2,08;2,27
3111;Illusion of Gaia;Super Nintendo;1,56;1,48;3,27;1,39
3112;Road Trip: The Arcade Edition;GameBoy Color;2,12;0,07;2,32;2,55
3113;Army Men: Sarge's War;GameBoy Color;2,71;0,04;1,74;2,94
3114;Transformer: Rise of the Dark Spark;XBox One;0,18;2,84;2,11;1,98
3115;Mortal Kombat 4;Nintendo 64;3,56;2,98;2,97;3,49
3116;Hitman: Contracts;XBox;2,43;1,95;1,55;0,13
3117;Chibi-Robo! Plug into Adventure!;GameBoy Color;2,84;0,06;1,59;2,69
3118;Torneko no Daibouken: Fushigi no Dungeon;Super Nintendo;1,94;1,99;2,73;1,04
3119;Barbie in The 12 Dancing Princesses;Nintendo DS;0,15;1,63;2,14;2,72
3120;Super Army War;GameBoy Advance;2,58;2,65;2,53;2,5
3121;Dark Souls III;PlayStation 4;1,4;1,94;2,14;1,76
3122;Fast Food Panic;Nintendo DS;0,05;2,41;2,14;2,74
3123;Persona 2: Eternal Punishment;PlayStation;2,28;2,02;0,09;1,03
3124;Cruis'n USA;Nintendo 64;3,68;2,49;3,34;3,79
3125;Resident Evil 2;GameBoy Color;1,37;0,14;2,33;2,33
3126;Looney Tunes Duck Dodgers Starring: Daffy Duck;Nintendo 64;2,96;3,28;3,38;2,77
3127;DiRT Showdown;XBox 360;2,58;2,14;2,66;2,68
3128;MLB SlugFest 20-03;GameBoy Color;2,16;0,5;1,93;2,1
3129;Expendable;PlayStation;1,56;1,31;0,05;2,17
3130;SimCity;Super Nintendo;1,86;1,42;3,34;0,72
3131;X2: Wolverine's Revenge;GameBoy Advance;1,24;2,63;2,48;1,99
3132;Top Gear Rally;Nintendo 64;2,94;3,12;3,04;4,22
3133;America Oudan Ultra-Quiz;Sega Saturn;1,43;2,03;1,28;0,1
3134;Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu;Super Nintendo;1,64;1,66;3,88;1,53
3135;Ragnarok DS;Nintendo DS;0,31;2,99;2,25;1,71
3136;Pro Evolution Soccer 2012;XBox 360;2,42;3,54;2,19;1,44
3137;Millipede;Atari 2600;1,87;0,88;0,86;0,27
3138;Mortal Kombat: Shaolin Monks;XBox;2,46;2,89;2,29;0,91
3139;Dead to Rights;GameBoy Color;2,39;0,35;2,04;2,39
3140;Rockstar Games presents Table Tennis;Nintendo Wii;2,41;1,94;1,56;2,6
3141;Crash: Twinsanity;XBox;2,22;1,74;2,01;0,01
3142;Farming Simulator 2015;XBox One;0,17;2,24;2,14;1,9
3143;Grandia;Sega Saturn;2,53;2,16;3;1,12
3144;Cooking Mama 2: Dinner With Friends;Nintendo DS;0,09;2,14;2,32;2,83
3145;Sword & Sorcery;Sega Saturn;1,67;2,35;2,22;0,26
3146;Ghostbusters: The Video Game;Nintendo Wii;2,24;3,13;2,01;1,94
3147;Monster Hunter G;Nintendo Wii;1,97;2,6;2,39;1,8
3148;Don Bradman Cricket 14;PlayStation 4;1,62;2,24;1,98;1,85
3149;E.T. The Extra-Terrestrial: Interplanetary Mission;PlayStation;1,5;1,37;0,13;1,68
3150;Rock Band 2;Nintendo Wii;2,29;2,97;1,9;1,85
3151;Fairy Fencer F: Advent Dark Force;PlayStation 4;2,46;2,07;1,21;2,02
3152;NFL Blitz 20-03;GameBoy Color;1,85;0,13;1,35;2,33
3153;Ultimate Brain Games;GameBoy Advance;2,16;2,37;1,95;2,83
3154;Top Gun: Combat Zones;GameBoy Color;2,32;0,09;2,27;1,35
3155;Wrecking Crew;Nintendo;3,6;2,54;0,22;0,33
3156;NBA Jam;XBox;2,37;2,38;1,45;0,06
3157;All-Star Baseball 2003;XBox;2,72;1,93;2,07;0,05
3158;Defender;XBox;1,76;1,87;1,56;0,42
3159;Daikaijyuu Monogatari II;Super Nintendo;2,32;1,85;3,87;1,35
3160;The Spiderwick Chronicles;XBox 360;1,84;2,16;2,96;2,22
3161;Top Gear Overdrive;Nintendo 64;2,77;2,69;3,71;3,64
3162;Mega Man Legacy Collection;PlayStation 4;1,87;1,9;1,94;1,13
3163;Turok 3: Shadow of Oblivion;Nintendo 64;3,83;3,27;3,44;2,65
3164;Go! Go! Hypergrind;GameBoy Color;1,38;0,35;1,87;2,68
3165;Bionicle Heroes;GameBoy Color;2,41;0,52;1,82;2,62
3166;Indiana Jones and the Emperor's Tomb;XBox;2,48;1,77;1,54;0,04
3167;Turning Point: Fall of Liberty;XBox 360;2,03;2,05;1,98;3,09
3168;Doom (2016);PlayStation 4;2,88;1,39;1;2,58
3169;Destruction Derby 64;Nintendo 64;4,22;3,54;3,41;3,16
3170;Power Pro Kun Pocket 2;GameBoy;2,44;0,24;2,84;0,06
3171;Deus Ex: Mankind Divided;PlayStation 4;3,15;2,73;1,41;1,36
3172;SSX Tricky;XBox;1,6;1,81;2,2;0,58
3173;Final Fantasy Crystal Chronicles: Echoes of Time;Nintendo DS;0,14;1,46;2,85;2,65
3174;Mario Party 5;GameBoy Color;1,79;0,08;2,74;3,07
3175;Club Penguin: Elite Penguin Force - Herbert's Revenge;Nintendo DS;0,27;1,9;2,76;2,12
3176;Resident Evil 5 HD;PlayStation 4;2,07;1,64;1,32;2,32
3177;NBA Street V3;GameBoy Color;2,95;0,01;1,69;2,65
3178;Taz Wanted;XBox;2,27;1,33;3,3;0,24
3179;CSI: Dark Motives;Nintendo DS;0,09;1,62;2,76;2,9
3180;Starsky & Hutch;XBox;1,97;2,22;0,64;0,09
3181;Doukyuusei if;Sega Saturn;1,34;2,43;2,23;0,31
3182;Paper Mario: The Thousand-Year Door;GameBoy Color;2,05;0,04;1,39;2,28
3183;Guilty Gear X2 #Reload;XBox;2,4;3,04;1,93;0,27
3184;Mountain King;Atari 2600;1,72;1,3;0,68;0,17
3185;World League Soccer;Super Nintendo;2,04;2,1;3,28;0,73
3186;We Sing Pop!;Nintendo Wii;2,22;2,12;2,51;2,43
3187;Purr Pals;Nintendo Wii;1,67;2,7;1,39;2,35
3188;Gintama DS: Yorozuya Daisoudou;Nintendo DS;0,08;1,85;1,32;2,33
3189;Super Scope 6;Super Nintendo;1,83;1,32;3,69;1,55
3190;Parodius;Sega Saturn;2,31;2,24;1,48;0,25
3191;NiGHTS into dreams...;Sega Saturn;2,23;2,2;1,86;0,01
3192;VR Golf '97;PlayStation;1,61;1,85;0,12;2,16
3193;The Mummy;GameBoy Advance;1,04;2,49;1,72;2,06
3194;Scooby-Doo! Unmasked;XBox;1,75;3,05;2,25;0,07
3195;Goldeneye 007: Reloaded;XBox 360;2,61;2,92;1,61;2,85
3196;The Lord of the Rings: The Return of the King;XBox;1,04;1,28;2,83;0,32
3197;Aliens vs Predator;XBox 360;1,69;1,55;1,68;3,37
3198;NCAA Gamebreaker;PlayStation;1,84;2,01;0,31;1,81
3199;Fight Night Round 4;XBox 360;2,23;1,09;2,85;2,66
3200;Castlevania: Harmony of Dissonance;GameBoy Advance;1,48;3,06;3,13;1,89
3201;Hitman: Absolution;XBox 360;1,53;2,04;2;2,67
3202;Crash Bandicoot: The Wrath of Cortex;GameBoy Color;2,17;0,09;2,66;2,4
3203;Nicktoons Collection: Game Boy Advance Video Volume 2;GameBoy Advance;1,54;3;2,2;1,85
3204;NASCAR 2011: The Game;XBox 360;1,48;2,8;0,93;1,59
3205;Dragon Ball: Advanced Adventure;GameBoy Advance;2,13;2,63;1,58;2,17
3206;Kelly Slater's Pro Surfer;GameBoy Color;1,65;0,24;2,21;2,26
3207;NCAA Football 2003;GameBoy Color;2,65;0,03;2,06;2,48
3208;Dragon Quest IV: Michibikareshi Monotachi;PlayStation;2,28;1,69;0,56;1,3
3209;Eragon;XBox 360;1,58;1,87;2,82;3,06
3210;Final Fantasy XI;XBox 360;1,95;1,8;0,91;2,76
3211;Tenchu: Dark Secret;Nintendo DS;0,79;2,05;1,7;1,46
3212;Mortal Kombat: Deception;XBox;2,16;1,81;2,12;0,35
3213;The Da Vinci Code;XBox;1,7;1,35;1,32;1,11
3214;Legend of Kay;PlayStation 4;1,5;2,33;1,85;1,45
3215;NBA ShootOut;PlayStation;1,98;1,79;0,22;2,6
3216;Deep Labyrinth;Nintendo DS;1,3;2,09;1,89;1,88
3217;Heroes of the Pacific;XBox;1,59;1,21;2,29;0,37
3218;Resident Evil: Operation Raccoon City;XBox 360;2,12;1,89;1,31;2,61
3219;Project CARS;XBox One;0,05;2,1;2,28;2,68
3220;All-Star Baseball 2004;XBox;1,83;2,5;2,05;0,12
3221;Chrono Trigger;Super Nintendo;1,9;2,41;2,76;1,1
3222;Tron 2.0: Killer App;GameBoy Advance;1,17;2,24;2,79;2,5
3223;Jillian Michaels Fitness Ultimatum 2011;Nintendo Wii;2,37;2,19;1,76;1,65
3224;Animal Crossing;GameBoy Color;1,06;0,12;2,89;2,69
3225;Emergency Room: Real Life Rescues;Nintendo DS;0,36;2,42;1,91;1,1
3226;Sound Novel Machi;Sega Saturn;2,23;1,46;1,49;0,03
3227;Dynasty Warriors 3;XBox;1,51;1,35;2,25;0,09
3228;Dragon Ball Z: Budokai;GameBoy Color;1,05;0,04;2,09;1,48
3229;Blazing Heroes;Sega Saturn;1,23;1,45;2,06;0,12
3230;MySims Kingdom;Nintendo Wii;1,61;2,23;1,98;2,13
3231;Disney's PK: Out of the Shadows;GameBoy Color;2,34;0,2;1,36;1,91
3232;Robots;GameBoy Color;2,87;0,6;1,92;1,83
3233;Sally's Salon;Nintendo DS;0,68;1,79;1,63;3,23
3234;Dengeki Gakuen RPG: Cross of Venus Special;Nintendo DS;0,52;2,14;1,76;2,3
3235;Bomberman Jetters;GameBoy Color;1,17;0,43;2,87;2,04
3236;Dr. Mario;GameBoy;2,39;0,26;1,69;0,31
3237;Top Gun;Nintendo DS;0,47;1,06;2,95;2,49
3238;Genma Onimusha;XBox;1,99;2,07;0,72;0,18
3239;Rave Master;GameBoy Color;2,8;0,52;2,1;3,05
3240;Ty the Tasmanian Tiger 2: Bush Rescue;GameBoy Advance;2,11;1,45;2,32;2,81
3241;Super Robot Monkey Team: Game Boy Advance Video Volume 1;GameBoy Advance;1,93;2,27;2,07;2,15
3242;Family Party: Fitness Fun;Nintendo Wii;2,05;1,92;2,36;3,17
3243;Ochaken no Heya DS 2;Nintendo DS;0,28;2,5;2,12;1,93
3244;ZooCube;GameBoy Color;2,27;0,1;0,8;2,8
3245;My Fitness Coach;Nintendo Wii;1,71;3,33;1,99;2,96
3246;Wings of War;XBox;1,27;1,91;1,51;0,11
3247;Metro: Last Light;XBox One;0,04;2,41;2,91;2,71
3248;Frogger Beyond;XBox;1,8;2,32;2,04;0,19
3249;Biohazard: Revival Selection;XBox 360;1,89;1,9;2,33;1,78
3250;Magical Tetris Challenge;Nintendo 64;2,97;3,19;3,36;3,44
3251;The Incredibles: Rise of the Underminer;GameBoy Advance;2,38;1,88;2,3;1,77
3252;Two Worlds;XBox 360;2;2,04;2,54;3,43
3253;World Series Baseball;Sega Saturn;1,97;1,69;1,82;0,28
3254;Who Wants to Be a Millionaire: 3rd Edition;Nintendo Wii;2,93;1,61;1,56;1,45
3255;Animaniacs: The Great Edgar Hunt;GameBoy Color;1,74;0,15;3;2,32
3256;Top Gun: Firestorm Advance;GameBoy Advance;2,53;2,04;2,94;2,38
3257;Outlaw Tennis;XBox;2,51;2,98;2,34;0,09
3258;Top Gear Rally;GameBoy Advance;2,3;2,36;1,59;1,8
3259;The Crew;XBox One;0,34;2,24;2,45;3,19
3260;Murdered: Soul Suspect;XBox One;0,37;2,41;2,19;2,67
3261;Chrono Trigger;Nintendo DS;0,06;1,77;2,58;1,76
3262;Dark Summit;XBox;1,86;2,34;1,97;0,6
3263;Raven's Cry;PlayStation 4;2,71;1,86;2,41;1,92
3264;Slam Dunk: Yonkyo Taiketsu!!;Super Nintendo;2,59;1,82;3,36;1,23
3265;Tom Clancy's Rainbow Six: Lockdown;XBox;1,91;2,46;2,39;0,04
3266;NBA Live 99;Nintendo 64;3,39;3,6;3,6;2,79
3267;Star Wars Episode I: The Phantom Menace;PlayStation;1,86;2,34;0,06;2,54
3268;Power Pocket Koushien;Nintendo DS;0,8;2,44;1,55;2,52
3269;Point Blank DS (US sales);Nintendo DS;0,08;1,65;2,41;1,64
3270;Onechanbara Z Kagura;XBox 360;2,89;2,05;2,44;3,14
3271;NBA Live 98;PlayStation;2,58;3,18;0,55;1,77
3272;FlatOut;XBox;2,52;1,65;2,37;0,06
3273;Transformers: Devastation;PlayStation 4;2,37;2,15;2,17;2,79
3274;Need for Speed Underground;GameBoy Color;2,46;0,22;2,97;1,93
3275;SpongeBob SquarePants: Battle for Bikini Bottom;XBox;1,67;1,75;2,15;0,15
3276;Area 51;XBox;2,69;2,3;2;0,72
3277;Spy Hunter / Super Sprint;GameBoy Advance;1,99;2,75;1,71;2,18
3278;Kotoba no Puzzle: Mojipittan DS;Nintendo DS;0,14;2,32;1,38;1,75
3279;Teenage Mutant Ninja Turtles 3: Mutant Nightmare;XBox;2,46;2,13;2,18;0,11
3280;High Heat Baseball 2002;PlayStation;1,85;2,25;0,09;1,46
3281;Shaman King: Spirit of Shamans;PlayStation;2,22;2,8;0,13;1,58
3282;Enchanted Arms (JP sales);XBox 360;2,62;2,01;2,52;2,58
3283;Marble Madness / Klax;GameBoy Advance;2,81;2,41;1,28;1,98
3284;Digimon World 2;PlayStation;2,69;1,67;0,2;2,54
3285;Spore Hero;Nintendo Wii;2,58;2,25;1,91;2,07
3286;Def Jam Rapstar;XBox 360;1,92;2,82;1,81;2,08
3287;Skeleton Warriors;PlayStation;3,44;2,76;0,2;1,71
3288;BIT.TRIP COMPLETE;Nintendo Wii;1,69;1,95;3,13;1,78
3289;Scene It? Bright Lights! Big Screen!;XBox 360;3,22;2,21;2,25;2,32
3290;Drama Queens;Nintendo DS;0,03;2,27;2,65;1,99
3291;SpongeBob's Boating Bash;Nintendo DS;0,13;2,46;1,73;2,13
3292;2002 FIFA World Cup;GameBoy Color;2,55;0,24;2;1,98
3293;Terminator 3: The Redemption;GameBoy Color;1,64;0,03;1,69;2,52
3294;Pong: The Next Level;PlayStation;2,03;1,61;0,16;2,82
3295;South Park: Chef's Luv Shack;Nintendo 64;2,74;3,12;3,38;3,67
3296;ThunderStrike 2;PlayStation;2,67;2,55;0,8;2,31
3297;Paws & Claws: Pet Vet;Nintendo Wii;2,08;3,27;2,57;1,21
3298;Lunar: Silver Star Story Complete;Sega Saturn;2,22;2,82;1,62;0,05
3299;FIFA Soccer 07;XBox;2,6;1,79;1,9;0,13
3300;Final Fantasy VI Advance;GameBoy Advance;1,66;2,08;3,12;2
3301;Bladestorm: The Hundred Years' War;XBox 360;2,06;2;2,04;1,81
3302;Spawn the Eternal;PlayStation;2,38;1,79;0,35;2,45
3303;Robotica;Sega Saturn;1,82;2,34;1,9;0,13
3304;Dragon Ball Z: Ultime Menace;Super Nintendo;1,8;1,46;3,65;1,65
3305;Mission: Impossible - Operation Surma;GameBoy Color;1,94;0,14;1,76;1,93
3306;Tetris 2 + Bombliss;Nintendo;3,94;3,74;0,03;0,02
3307;Metroid Prime: Trilogy;Nintendo Wii;1,32;2,47;2,08;2,4
3308;FIFA Soccer 07;GameBoy Color;1,12;0,33;2,99;2,4
3309;The Club;XBox 360;2,5;2,74;1,64;3,39
3310;MLB 14: The Show;PlayStation 4;1,97;2,77;2,16;1,82
3311;Space Camp;Nintendo DS;0,28;2,2;2,54;2,35
3312;The Spiderwick Chronicles;Nintendo DS;0,18;1,46;3;2,19
3313;Star Wars: The Clone Wars & Tetris Worlds;XBox;2,53;1,86;2,54;0,26
3314;Medal of Honor European Assault;GameBoy Color;1,31;0,32;1,95;2,24
3315;Suikoden II;PlayStation;1,81;1,7;0,19;1,7
3316;Digimon Rumble Arena 2;XBox;2,15;2,38;2,45;0,04
3317;Golf;GameBoy;1,74;0,21;2,34;0,03
3318;OverBlood;PlayStation;1,28;2,66;1,25;2,06
3319;Daniel X: The Ultimate Power;Nintendo DS;0,2;1,95;2,15;1,47
3320;Sprung - A Game Where Everyone Scores;Nintendo DS;0,38;2,5;2,49;0,99
3321;MLB SlugFest 2006;XBox;2,94;2,24;3,35;1,15
3322;Virtua Tennis 4;Nintendo Wii;2,54;3,77;2,14;1,45
3323;Classic NES Series: Zelda II: The Adventure of Link;GameBoy Advance;2,46;1,54;1,76;2,02
3324;Sesame Street: Ready, Set, Grover!;Nintendo DS;0,48;1,77;2,97;2,25
3325;Super Robot Taisen OG Saga: Endless Frontier (JP sales);Nintendo DS;0,02;1,78;2,83;1,39
3326;Shinseiki Evangelion: Koutetsu no Girlfriend;Sega Saturn;2,58;1,52;2,22;0,07
3327;Tao Adventure: Curse Demon;Nintendo DS;0,36;1,15;2,41;3,34
3328;Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage;Nintendo DS;0,04;1,22;1,99;2,46
3329;Exhibition Volume 4;XBox;1,98;2,35;2,76;0,28
3330;Kuma no Pooh-San: 100 Acre no Mori no Cooking Book;Nintendo DS;1,21;1,63;1,92;2,66
3331;Super Mario Bros. 3;GameBoy Advance;1,62;2,03;2,14;1,51
3332;I Spy: Castle;Nintendo DS;0,45;2,43;2,43;1,39
3333;Shonen Jump's Shaman King: Master of Spirits;GameBoy Advance;2,35;2,59;2,5;2,79
3334;Meitantei Conan: Tantei Ryoku Trainer;Nintendo DS;0,86;1,67;2,45;1,76
3335;Defendin' De Penguin;Nintendo Wii;1,45;2,63;2,2;2,62
